Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Drivetrain,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type,min_MPG,max_MPG,avg_MPG
2023,Honda,Ridgeline RTL,New,46370,4.8,9,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F58PB011817,830164,10,5,4.8,4.8,4.2,5,5,CA,Dealer,17.825,24.075,20.95
2023,Honda,CR-V Hybrid Sport,New,34245,4.7,2869,Meteorite Gray Metallic,fwd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H55PH704805,PH704805,1,5,3,4,4,5,5,CA,Dealer,41.8,35.2,38.5
2022,Honda,Pilot TrailSport,New,46500,5,12,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H82NB100429,5700429B,5,5,5,5,5,5,5,CA,Dealer,19,25,22
2023,Honda,CR-V Hybrid Sport Touring,New,40395,4.4,12,Crystal Black Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H90PH805954,5705954,5,5,3,4,4,5,5,CA,Dealer,40,34,37
2023,Honda,Odyssey EX-L,New,42250,4.4,12,Pacific Pewter Metallic,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H67PB024270,5724270,5,5,5,4,4,4,5,CA,Dealer,18.93220339,27.80508475,23.36864407
2022,Honda,Pilot Special Edition,New,44600,5,333,Dark Cherry Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H2XNB087120,78543,3,5,5,5,5,5,5,NV,Dealer,19,26,22.5
2023,Honda,CR-V EX-L,New,34640,4.7,2051,Crystal Black Pearl,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,5J6RS4H77PL000638,PL000638,5,5,5,5,4,4,5,AZ,Dealer,26.13043478,32.0326087,29.08152174
2023,Honda,Pilot Sport,New,42595,4.3,1239,Lunar Silver Metallic,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYG1H3XPB002207,44695,1,5,5,5,5,5,5,UT,Dealer,19,25,22
2023,Honda,Pilot Elite,New,53720,4.3,1239,White,awd,Gasoline,automatic,V6 Cylinder Engine,5FNYG1H80PB000865,44677,1,4.9,4.8,4.8,4.7,4.7,4.8,UT,Dealer,19,25,22
2023,Honda,CR-V Hybrid Sport Touring,New,40939,4.5,1972,Platinum White Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H97PH800251,PH800251,15,5,3,4,4,5,5,CO,Dealer,40,34,37
2022,Honda,Ridgeline RTL-E,New,43190,4.7,790,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F73NB023890,229145,10,5,4.9,4.9,4.3,4.7,5,WA,Dealer,18,24,21
2022,Honda,Ridgeline RTL-E,New,42795,4.7,790,Obsidian Blue Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F71NB015061,229118,9268,5,4.9,4.9,4.3,4.7,5,WA,Dealer,18,24,21
2022,Honda,Passport Elite,New,41950,4.7,790,Obsidian Blue Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H05NB011492,224029,9352,5,5,4.9,5,4.9,5,WA,Dealer,19,24,21.5
2023,Honda,Ridgeline RTL-E,New,48820,4.8,6,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F74PB012903,X7016,5,5,4.8,4.8,4.2,5,5,NE,Dealer,18.10909091,24.21818182,21.16363636
2022,Honda,Accord Sport 1.5T,New,30469,5,5,Platinum White Pearl,fwd,Gasoline,cvt,4 Cylinder Engine,1HGCV1F32NA089319,22049,4,5,5,5,5,5,5,OK,Dealer,29,35,32
2023,Honda,HR-V Sport,New,29039,4.6,5,Platinum White Pearl,awd,Gasoline,cvt,4 Cylinder Engine,3CZRZ2H52PM722919,23027,16,4,5,4,5,5,5,OK,Dealer,25,30,27.5
2023,Honda,CR-V EX-L,New,36504,4.7,5,Crystal Black Pearl,awd,Gasoline,automatic,4 Cylinder Engine,2HKRS4H79PH400825,23011,2,5,5,5,4,4,5,OK,Dealer,27,32,29.5
2023,Honda,CR-V Hybrid Sport Touring,New,40239,4.4,5,Platinum White Pearl,awd,Hybrid,cvt,4 Cylinder Engine,2HKRS6H94PH800174,23023,7,5,3,4,4,5,5,OK,Dealer,40,34,37
2023,Honda,CR-V Hybrid Sport,New,34089,4.4,5,Platinum White Pearl,fwd,Hybrid,cvt,4 Cylinder Engine,2HKRS5H54PH700891,23029,2,5,3,4,4,5,5,OK,Dealer,43,36,39.5
2022,Honda,Civic Sport,New,25845,4.6,5,Rallye Red,fwd,Gasoline,cvt,4 Cylinder Engine,19XFL2H87NE021708,22015,18,4.6,4.9,4.4,4.6,4.6,4.7,OK,Dealer,29,37,33
2022,Honda,Pilot TrailSport,New,46420,4.4,877,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H89NB083368,HN209,5,5,5,5,5,5,5,OK,Dealer,19,25,22
2022,Honda,Passport Elite,New,47620,4.9,273,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H08NB029825,NB029825,10,5,5,4.9,5,4.9,5,TX,Dealer,19,24,21.5
2022,Honda,Pilot Sport,New,39595,4.5,1691,Crystal Black Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H38NB102612,NB102612,5,5,5,5,5,5,5,TX,Dealer,19,26,22.5
2023,Honda,Ridgeline RTL,New,43482,5,2291,Radiant Red Metallic II,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F56PB012724,PB012724,5,5,4.8,4.8,4.2,5,5,TX,Dealer,17.825,24.075,20.95
2023,Honda,CR-V EX-L,New,35400,4.9,2843,Platinum White Pearl,fwd,Gasoline,automatic,1.5L I4 16V DOHC,2HKRS3H72PH300656,43018,10,5,5,5,4,4,5,TX,Dealer,26.13043478,32.0326087,29.08152174
2022,Honda,Pilot TrailSport,New,46500,4.6,880,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H86NB084560,NB084560,8,5,5,5,5,5,5,OK,Dealer,19,25,22
2022,Honda,Accord Sport 1.5T,New,30470,4.8,723,Platinum White Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F32NA061052,H061052R,5,5,5,5,5,5,5,KS,Dealer,29,35,32
2022,Honda,Accord Sport 2.0T,New,35150,4.8,723,Platinum White Pearl,fwd,Gasoline,automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F32NA025528,H025528,5,5,5,5,5,5,5,KS,Dealer,22,32,27
2022,Honda,Accord Sport 1.5T,New,30075,4.8,723,Crystal Black Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39NA061033,H061033R,5,5,5,5,5,5,5,KS,Dealer,29,35,32
2022,Honda,Accord Sport 1.5T,New,30470,4.9,559,Platinum White Pearl,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,1HGCV1F34NA116455,116455,10,5,5,5,5,5,5,TX,Dealer,29,35,32
2022,Honda,Pilot TrailSport,New,46719,4.5,820,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H84NB098618,DNF098618,6,5,5,5,5,5,5,IA,Dealer,19,25,22
2022,Honda,Pilot EX-L,New,43605,5,2231,Lunar Silver Metallic,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H59NB104872,221983,0,5,5,5,5,5,5,MN,Dealer,19,26,22.5
2023,Honda,CR-V EX,New,34860,4.7,13,Platinum White Pearl,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,5J6RS4H41PL003427,H13514,5,5,5,5,4,4,5,IA,Dealer,26.14772727,31.85227273,29
2023,Honda,Odyssey Sport,New,43160,4.4,13,Platinum White Pearl,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H71PB035452,H13509,6,5,5,4,4,4,5,IA,Dealer,19,28,23.5
2022,Honda,Passport EX-L,New,43230,4.9,13,Radiant Red Metallic II,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H54NB031485,H13426,1,5,5,4.9,5,4.9,5,IA,Dealer,19,24,21.5
2023,Honda,CR-V EX-L,New,36505,4.7,13,Lunar Silver Metallic,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS4H78PH401352,H13416,6,5,5,5,4,4,5,IA,Dealer,26.13043478,32.0326087,29.08152174
2023,Honda,CR-V EX,New,34250,4.7,13,Platinum White Pearl,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS4H49PH411250,H13505,6,5,5,5,4,4,5,IA,Dealer,26.14772727,31.85227273,29
2022,Honda,Pilot TrailSport,New,46500,5,13,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H85NB077633,H13377,16,5,5,5,5,5,5,IA,Dealer,19,25,22
2023,Honda,CR-V EX-L,New,35005,4.7,13,Meteorite Gray Metallic,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,5J6RS3H71PL000919,H13504,1,5,5,5,4,4,5,IA,Dealer,26.13043478,32.0326087,29.08152174
2023,Honda,CR-V EX-L,New,37055,4.7,13,Crystal Black Pearl,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS4H73PH411903,H13515,1,5,5,5,4,4,5,IA,Dealer,26.13043478,32.0326087,29.08152174
2022,Honda,Passport TrailSport,New,47848,4.9,13,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H66NB020920,H13362,32,5,5,4.9,5,4.9,5,IA,Dealer,19,24,21.5
2022,Honda,Pilot Special Edition,New,44205,5,13,Modern Steel Metallic,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H24NB086304,H13400,1,5,5,5,5,5,5,IA,Dealer,19,26,22.5
2022,Honda,CR-V Touring,New,36845,4.8,3,Lunar Silver Metallic,awd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRW2H90NH666757,221714,10,4.9,4.8,4.7,4.8,4.7,4.9,LA,Dealer,27,32,29.5
2023,Honda,Passport TrailSport,New,44290,4.8,3,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H60PB003596,231824,12,5,5,4.9,5,4.9,5,LA,Dealer,19,24,21.5
2022,Honda,Pilot Special Edition,New,44100,5,3,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H20NB100232,221813,5,5,5,5,5,5,5,LA,Dealer,19,26,22.5
